#F nb_NeutronNews.dat
#UT Neutron Scattering Lengths and cross sections
#UIDL xndebe
#UD Neutron Scattering Lengths and cross sections
#UD 
#UD All of these data were taken from the Special Feature section of
#UD neutron scattering lengths and cross sections of the elements and
#UD their isotopes in Neutron News, Vol. 3, No. 3, 1992, pp.  29-37.
#UD 
#UD The contents of the columns are as follows:
#UD Column	Unit	Quantity	
#UD 1	                Natural abundance (For radioisotopes the half-life is given instead)
#UD 2           fm      real part of the bound coherent scattering length
#UD 3		fm	imaginary part of the bound coherent scattering length
#UD 4		fm	real part of the bound incoherent scattering length
#UD 5		fm	imaginary part of the bound incoherent scattering length
#UD 6		barn	bound coherent scattering cross section
#UD 7		barn	bound incoherent scattering cross section
#UD 8		barn	total bound scattering cross section
#UD 9		barn	absorption cross section for 2200 m/s neutrons
#UD Note: 1fm=1E-15 m, 1barn=1E-24 cm^2, scattering lengths and cross sections in 
#UD parenthesis are uncertainties (not reported)
#UD
#S  1    H
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	-3.739	0	9999	1.7568	80.26	82.02	0.3326
#S  2    He
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	3.26	0	9999	1.34	0	1.34	0.00747
#S  3    Li
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	-1.9	0	9999	0.454	0.92	1.37	70.5
#S  4    Be
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
100	7.79	0	0.12	7.63	0.0018	7.63	0.0076
#S  5    B
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	5.3	-0.213	9999	3.54	1.7	5.24	767.(8.)
#S  6    C
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	6.646	0	9999	5.551	0.001	5.551	0.0035
#S  7    N
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	9.36	0	9999	11.01	0.5	11.51	1.9
#S  8    O
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	5.803	0	9999	4.232	0.0008	4.232	0.00019
#S  9    F
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
100	5.654	0	-0.082	4.017	0.0008	4.018	0.0096
#S  10   Ne
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	4.566	0	9999	2.62	0.008	2.628	0.039
#S  11   Na
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
100	3.63	0	3.59	1.66	1.62	3.28	0.53
#S  12   Mg
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	5.375	0	9999	3.631	0.08	3.71	0.063
#S  13   Al
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
100	3.449	0	0.256	1.495	0.0082	1.503	0.231
#S  14   Si
#N 8
#L Concentration  b_c_r  b_c_i  b_i_r  coh_cs  incoh_cs  scat_cs  abs_cs  
1	4.1491	0	9999	2.163	0.004	2.167	0.171
#S  15   P
#N 8
